what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1339517666272
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1339517666272
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1339517666272
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1339517666272
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1339517666272
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1339517666272
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339517666272
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1339517666272
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339517666272
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339517666272
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1339517666272
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1339517666272
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1339517666272
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1339517666272
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1339517666272
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1339517666272
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1339517666272
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339517666272
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339517666272
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1339517666272
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339517666272
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339517666272
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339517666272
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339517666272
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339517666272
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339517666272
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1339517666272
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1339517666272
os,sysinfo,,,"win32",1339517666288
arch,sysinfo,,,"x86",1339517666288
ws,sysinfo,,,"win32",1339517666288
locale,sysinfo,,,"ko_KR",1339517666288
processors,sysinfo,,,"2",1339517666288
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339517666288
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1339517666288
java.specification.name,sysinfo,,,"Java Platform API Specification",1339517666288
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339517666288
java.specification.version,sysinfo,,,"1.6",1339517666288
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1339517666288
java.version,sysinfo,,,"1.6.0_31",1339517666288
java.vm.info,sysinfo,,,"mixed mode, sharing",1339517666288
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339517666288
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339517666288
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339517666288
java.vm.specification.version,sysinfo,,,"1.0",1339517666288
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1339517666288
java.vm.version,sysinfo,,,"20.6-b01",1339517666288
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339517666288
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339517666818
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339517667013
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1339517667124
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339517667131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517667397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517737843
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1339517738046
error,log,,,"DDMS files not found: C:\\Program Files\\Android\\android-sdk\\platform-tools\\adb.exe ",1339517738061
error,log,,,"DDMS files not found: C:\\Program Files\\Android\\android-sdk\\platform-tools\\adb.exe ",1339517738108
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1339517738124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517738139
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339517738373
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339517738467
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1339517739247
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1339517739387
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1339517739403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517745328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517746852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517922504
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339517924328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517931457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517945149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517952418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339517997294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518000683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518554858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518556250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518571771
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1339518574476
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1339518574507
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.update",1339518574648
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1339518574726
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1339518574772
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1339518574819
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1339518574882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518575006
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1339518575053
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1339518575053
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1339518620118
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1339518621288
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1339518621858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518725908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339518728939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519456954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519458942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519578187
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1339519583973
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339519584020
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1339519584098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519591898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519665159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519674393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519722872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1339519722882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519725424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519726550
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339519726775
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339519727667
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1339519727677
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339519728076
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1339519728078
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1339519728078
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1339519728079
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339519728080
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1339519728080
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339519728080
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339519728080
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1339519728081
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339519728086
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339519728086
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1339519728086
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1339519728087
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1339519728087
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339519728087
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339519728087
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339519728087
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1339519728087
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1339519728183
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1339519728184
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1339519728184
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1339519728184
