what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339861932071
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861934007
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861935397
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861936980
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861938147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339861940819
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861941837
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861943258
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861944179
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861948914
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861950052
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339861952112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861954261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861956560
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339861957688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861962022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861963978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861965932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861966773
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1339861966783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861967444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861968889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861972059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861973932
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339861980287
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339861980356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861986357
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861989566
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339861990899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339861998401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339862015446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1339862015457
error,log,,,"devteam_info.xml: Failed to convert @drawable/3flower_2 into a drawable",1339862027132
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1339862027298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339862033318
