what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871618858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871621951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871626718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871631685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871637250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871647815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871650878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871669336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871671403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871692772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871711577
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339871714350
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1339871714467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339871717409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871719480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871720589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871721134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339871723025
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339871729802
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339871745940
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1339871747431
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339871754192
